exchange_timestamp,arrival_timestamp,processed_timestamp,latency_ns,close,volume,validation_flags
1779861488000,1779861488928169400,1779861488928212400,43000,75721.4,0.00461,0
1779861489000,1779861489934586200,1779861489934594800,8600,75721.4,0.01065,0
1779861490000,1779861491029164600,1779861491029171900,7300,75721.4,0.00086,0
1779861491000,1779861491924740300,1779861491924747100,6800,75721.4,0.00835,0
1779861492000,1779861492908535600,1779861492908542800,7200,75721.4,0.012,0
1779861493000,1779861494027974100,1779861494027982400,8300,75721.4,0.0143,0
1779861494000,1779861494909925600,1779861494909932700,7100,75721.4,0.00697,0
1779861495000,1779861495908885600,1779861495908893400,7800,75721.4,0.00195,0
1779861496000,1779861496908234300,1779861496908242400,8100,75721.4,0.00077,0
1779861497000,1779861497925973400,1779861497925981200,7800,75721.4,0.18045,0
1779861498000,1779861498957667100,1779861498957675000,7900,75721.4,0.01391,0
1779861499000,1779861499915017500,1779861499915024900,7400,75721.4,0,0
1779861500000,1779861500968190900,1779861500968200600,9700,75721.4,0.00732,0
1779861501000,1779861501918120900,1779861501918128600,7700,75721.4,0.00132,0
1779861502000,1779861502918372000,1779861502918379400,7400,75726.1,0.08326,0
1779861503000,1779861503948323800,1779861503948330900,7100,75726.1,0.00085,0
1779861504000,1779861504910356200,1779861504910382600,26400,75726,0.00199,0
1779861505000,1779861505951299600,1779861505951307700,8100,75728,0.086,0
1779861506000,1779861506908376300,1779861506908383600,7300,75728,0.01339,0
1779861507000,1779861507909150400,1779861507909158000,7600,75728,0.00624,0
